#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = SGA-64
random seed          = 123
number of runs       = 100

solver type         = GA
stop criteria       = MaxGeneration 101

problem name        = bits.OneMax 128
population type     = SimplePopulation 64

selection           = MTournamentSelection 2.0 2
recombination       = Uniform 0.75 0.5
mutation            = FlipBit -1.0
replacement         = TournamentReplacement
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = Individuals
statistic           = SucessRate
statistic           = Time
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Result                         Generation          Individuals           SucessRate                 Time        FunctionCalls
STATISTIC 29                          30                    0                   30                   30                   30                   30                   30  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            10635.79   271.66160229524104                 9771                10693                11225                10553                10771  		             3336.78   23.162831598870522                 3282                 3339                 3393                 3320                 3353  		
STATISTIC 30                          31                    0                   31                   31                   31                   31                   31  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             10918.6   277.05802914759846                10037                10990                11474                10803                11068  		             3447.48    23.73952932401226                 3387                 3448                 3503                 3431                 3464  		
STATISTIC 31                          32                    0                   32                   32                   32                   32                   32  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            11212.94    283.7880778526592                10381                11287                11833                11162                11350  		             3558.06    24.03777330485511                 3496                 3559                 3613                 3542                 3576  		
STATISTIC 32                          33                    0                   33                   33                   33                   33                   33  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		             11514.1   268.92056955032785                10708                11553                12084                11412                11662  		             3668.96   24.680962278424886                 3599                 3670                 3730                 3653                 3686  		
STATISTIC 33                          34                    0                   34                   34                   34                   34                   34  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            11774.44   289.65501319096916                10928                11818                12333                11646                12021  		             3781.02   24.982409973443183                 3714                 3782                 3842                 3766                 3798  		
STATISTIC 34                          35                    0                   35                   35                   35                   35                   35  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            12083.72   268.25685264294265                11255                12130                12677                11974                12224  		             3892.24   25.766676467129255                 3828                 3894                 3954                 3875                 3911  		
STATISTIC 35                          36                    0                   36                   36                   36                   36                   36  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            12386.25    267.4239389645458                11474                12521                12803                12271                12537  		             4002.89   26.103095911428415                 3936                 4002                 4070                 3986                 4023  		
STATISTIC 36                          37                    0                   37                   37                   37                   37                   37  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            12650.51    291.2876149898281                11756                12709                13286                12537                12787  		             4113.73    26.41045668334055                 4047                 4116                 4179                 4096                 4132  		
STATISTIC 37                          38                    0                   38                   38                   38                   38                   38  		                  64                    0                   64                   64                   64                   64                   64  		                   0                    0                    0                    0                    0                    0                    0  		            12963.56   297.84381101102235                12137                13026                13572                12808                13151  		             4225.03   26.490499535822888                 4156                 4226                 4286                 4207                 4246  		
STATISTIC 38                          39                    0                   39                   39                   39                   39                   39  		                  64                    0                   64                   64                   64                   64                   64  		                0.01                  0.1                    0                    0                    1                    0                    0  		            13247.42     293.150569096535                12354                13395                13848                13082                13411  		             4336.28   26.663666497913937                 4272                 4338                 4393                 4318                 4356  		
