                    ____________________________________________________________________BestFitness____________________________________________________________________ 		____________________________________________________________________Generation_____________________________________________________________________ 		____________________________________________________________________Individuals____________________________________________________________________ 		____________________________________________________________________SucessRate_____________________________________________________________________ 		_______________________________________________________________________Time________________________________________________________________________ 		___________________________________________________________________FunctionCalls___________________________________________________________________ 		
                                    MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		
STATISTIC 37          122.43262226336421   2.3252743656714396   119.16697911257714   123.24074847159474   125.48279007940872   120.07228509869485   123.94292200830239  		                  67                    0                   67                   67                   67                   67                   67  		                90.2   12.761051854939117                   73                   89                  113                   80                   98  		                   0                    0                    0                    0                    0                    0                    0  		              6641.3    88.69178842111586                 6413                 6676                 6719                 6649                 6683  		              7300.2    73.45868075170168                 7204                 7309                 7428                 7235                 7347  		
STATISTIC 38          122.68263706196187   2.4936607814492775   119.37035607656118     123.664396864541   126.46478793775846   120.16329220656814   123.94292200830239  		                  69                    0                   69                   69                   69                   69                   69  		                95.3   13.760248705762738                   79                   90                  115                   83                  107  		                   0                    0                    0                    0                    0                    0                    0  		              6744.8    75.81820361893737                 6569                 6757                 6840                 6713                 6791  		              7503.6    76.73793788673541                 7400                 7511                 7644                 7439                 7562  		
STATISTIC 39          123.12007917824337    2.686380696634989    119.8465406240413   123.63216168871824   127.04827236745062   120.26814807065962   124.89555467669669  		                  71                    0                   71                   71                   71                   71                   71  		                96.8   13.062244149541183                   77                   99                  115                   84                  107  		                   0                    0                    0                    0                    0                    0                    0  		              6883.5    80.93653206199424                 6694                 6897                 6973                 6853                 6947  		              7705.5    83.28298479014519                 7591                 7726                 7865                 7625                 7757  		
STATISTIC 40          123.61228816290217   2.4326665060942276   120.17204495971149   124.38506212490441   127.04827236745062   121.26784588023334   125.41112323292452  		                  73                    0                   73                   73                   73                   73                   73  		                98.6   14.033293744995602                   77                  100                  122                   94                  105  		                   0                    0                    0                    0                    0                    0                    0  		              6935.1    79.69169760184569                 6741                 6963                 7027                 6904                 6978  		              7906.2    93.38189213000788                 7770                 7940                 8078                 7806                 7952  		
STATISTIC 41          123.66624211733006   2.4889633862545524   120.24260862253675   124.38506212490441   127.04874786508591   121.26784588023334   125.41112323292452  		                  74                    0                   74                   74                   74                   74                   74  		               102.3   10.646334789233574                   83                  104                  118                   96                  107  		                   0                    0                    0                    0                    0                    0                    0  		                7057    79.19876542247641                 6866                 7069                 7152                 7029                 7103  		              8005.7     96.4342608550992                 7870                 8041                 8175                 7896                 8057  		
STATISTIC 42           123.7291738639399   2.4493220578411448   120.24260862253675   124.38506212490441   127.04874786508591   121.40058334954517   125.41112323292452  		                  76                    0                   76                   76                   76                   76                   76  		               104.5    10.40566085252531                   87                  109                  117                  100                  112  		                   0                    0                    0                    0                    0                    0                    0  		              7107.1    79.60381062903973                 6913                 7134                 7199                 7076                 7150  		              8204.2    104.8923257440822                 8050                 8239                 8395                 8088                 8250  		
STATISTIC 43          123.83796479853035   2.4622529688546817   120.25514244597925   124.71150529498476   127.06342395221006   121.46457025298311   125.67764808486496  		                  78                    0                   78                   78                   78                   78                   78  		               106.5   11.616559062151083                   84                  109                  120                   97                  116  		                   0                    0                    0                    0                    0                    0                    0  		              7252.4    75.14755854685438                 7069                 7266                 7340                 7228                 7297  		              8400.8   113.01209374812937                 8243                 8435                 8600                 8281                 8456  		
STATISTIC 44          124.03783255511257    2.327111576770423   120.36949239751804   124.71150529498476   127.06342395221006    122.1562346048973   125.81313877779242  		                  80                    0                   80                   80                   80                   80                   80  		               107.2    7.828722046981202                   95                  107                  119                  104                  115  		                   0                    0                    0                    0                    0                    0                    0  		              7413.8    79.73121513353045                 7226                 7429                 7512                 7385                 7463  		              8602.4   122.44926386965163                 8414                 8640                 8802                 8471                 8679  		
STATISTIC 45           124.1652206053332   2.2594735081747426   120.55579103989433   124.71150529498476   127.06342395221006    122.1562346048973   126.02764133137862  		                  82                    0                   82                   82                   82                   82                   82  		                 111    6.253887679764573                  104                  110                  123                  107                  113  		                   0                    0                    0                    0                    0                    0                    0  		              7544.2    79.59731988789561                 7350                 7553                 7636                 7524                 7594  		              8794.5   130.25978316852485                 8601                 8837                 8995                 8652                 8879  		
STATISTIC 46           124.2007699070258   2.2487297741637313   120.55579103989433   124.71150529498476   127.06342395221006   122.67309612742751   126.02764133137862  		                  83                    0                   83                   83                   83                   83                   83  		               110.6    8.194849330863558                   93                  113                  120                  107                  116  		                   0                    0                    0                    0                    0                    0                    0  		              7561.8    75.30500942465311                 7382                 7569                 7652                 7540                 7610  		              8892.3    131.9857315520734                 8697                 8942                 9089                 8747                 8987  		
