AVG                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                               100               120.33                    1             31843.31              9973.98
SGA-64                                100                   64                    1             31380.53             11113.95
SGA-128                               100                  128                    1             31175.44             11114.41

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
STD                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                                 0   4.4586880346016615                    0   162.16948952662818    93.00895796974082
SGA-64                                  0                    0                    0    282.0986092726661    40.70821896016935
SGA-128                                 0                    0                    0   143.82419964677098    43.47647570122645

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   GENERATION                                    
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Generation                        MuGA-64               SGA-64              SGA-128 
             MuGA-64   .    -    +    0     2                MuGA-64   .    -    +    0     2                MuGA-64  1.000  0.000  0.000
              SGA-64   +    .    .    1     1                 SGA-64   +    .    .    1     1                 SGA-64  0.000    NaN    NaN
             SGA-128   -    .    .   -1     3                SGA-128   -    .    .   -1     3                SGA-128  0.000    NaN    NaN


#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   SUCESSRATE                                    
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
SucessRate                        MuGA-64               SGA-64              SGA-128 
                Mean                    1                    1                    1 
                 Std                    0                    0                    0 
             Minimum                    1                    1                    1 
              Median                    1                    1                    1 
             Maximum                    1                    1                    1 

            Solver 0                    1                    1                    1 
            Solver 1                    1                    1                    1 
            Solver 2                    1                    1                    1 
            Solver 3                    1                    1                    1 
            Solver 4                    1                    1                    1 
            Solver 5                    1                    1                    1 
            Solver 6                    1                    1                    1 
            Solver 7                    1                    1                    1 
            Solver 8                    1                    1                    1 
            Solver 9                    1                    1                    1 
           Solver 10                    1                    1                    1 
           Solver 11                    1                    1                    1 
           Solver 12                    1                    1                    1 
           Solver 13                    1                    1                    1 
           Solver 14                    1                    1                    1 
           Solver 15                    1                    1                    1 
           Solver 16                    1                    1                    1 
           Solver 17                    1                    1                    1 
           Solver 18                    1                    1                    1 
           Solver 19                    1                    1                    1 
           Solver 20                    1                    1                    1 
           Solver 21                    1                    1                    1 
           Solver 22                    1                    1                    1 
           Solver 23                    1                    1                    1 
           Solver 24                    1                    1                    1 
           Solver 25                    1                    1                    1 
           Solver 26                    1                    1                    1 
           Solver 27                    1                    1                    1 
           Solver 28                    1                    1                    1 
           Solver 29                    1                    1                    1 
           Solver 30                    1                    1                    1 
           Solver 31                    1                    1                    1 
           Solver 32                    1                    1                    1 
           Solver 33                    1                    1                    1 
           Solver 34                    1                    1                    1 
           Solver 35                    1                    1                    1 
           Solver 36                    1                    1                    1 
           Solver 37                    1                    1                    1 
           Solver 38                    1                    1                    1 
           Solver 39                    1                    1                    1 
           Solver 40                    1                    1                    1 
           Solver 41                    1                    1                    1 
           Solver 42                    1                    1                    1 
           Solver 43                    1                    1                    1 
           Solver 44                    1                    1                    1 
           Solver 45                    1                    1                    1 
           Solver 46                    1                    1                    1 
           Solver 47                    1                    1                    1 
           Solver 48                    1                    1                    1 
           Solver 49                    1                    1                    1 
           Solver 50                    1                    1                    1 
           Solver 51                    1                    1                    1 
           Solver 52                    1                    1                    1 
           Solver 53                    1                    1                    1 
           Solver 54                    1                    1                    1 
           Solver 55                    1                    1                    1 
           Solver 56                    1                    1                    1 
           Solver 57                    1                    1                    1 
           Solver 58                    1                    1                    1 
           Solver 59                    1                    1                    1 
           Solver 60                    1                    1                    1 
           Solver 61                    1                    1                    1 
           Solver 62                    1                    1                    1 
           Solver 63                    1                    1                    1 
           Solver 64                    1                    1                    1 
           Solver 65                    1                    1                    1 
           Solver 66                    1                    1                    1 
           Solver 67                    1                    1                    1 
           Solver 68                    1                    1                    1 
           Solver 69                    1                    1                    1 
           Solver 70                    1                    1                    1 
           Solver 71                    1                    1                    1 
           Solver 72                    1                    1                    1 
           Solver 73                    1                    1                    1 
           Solver 74                    1                    1                    1 
           Solver 75                    1                    1                    1 
           Solver 76                    1                    1                    1 
           Solver 77                    1                    1                    1 
           Solver 78                    1                    1                    1 
           Solver 79                    1                    1                    1 
           Solver 80                    1                    1                    1 
           Solver 81                    1                    1                    1 
           Solver 82                    1                    1                    1 
           Solver 83                    1                    1                    1 
           Solver 84                    1                    1                    1 
           Solver 85                    1                    1                    1 
           Solver 86                    1                    1                    1 
           Solver 87                    1                    1                    1 
           Solver 88                    1                    1                    1 
           Solver 89                    1                    1                    1 
           Solver 90                    1                    1                    1 
           Solver 91                    1                    1                    1 
           Solver 92                    1                    1                    1 
           Solver 93                    1                    1                    1 
           Solver 94                    1                    1                    1 
           Solver 95                    1                    1                    1 
           Solver 96                    1                    1                    1 
           Solver 97                    1                    1                    1 
           Solver 98                    1                    1                    1 
           Solver 99                    1                    1                    1 

SucessRate                           Mean                  STD             Solver 0             Solver 1             Solver 2             Solver 3             Solver 4             Solver 5             Solver 6             Solver 7             Solver 8             Solver 9            Solver 10            Solver 11            Solver 12            Solver 13            Solver 14            Solver 15            Solver 16            Solver 17            Solver 18            Solver 19            Solver 20            Solver 21            Solver 22            Solver 23            Solver 24            Solver 25            Solver 26            Solver 27            Solver 28            Solver 29            Solver 30            Solver 31            Solver 32            Solver 33            Solver 34            Solver 35            Solver 36            Solver 37            Solver 38            Solver 39            Solver 40            Solver 41            Solver 42            Solver 43            Solver 44            Solver 45            Solver 46            Solver 47            Solver 48            Solver 49            Solver 50            Solver 51            Solver 52            Solver 53            Solver 54            Solver 55            Solver 56            Solver 57            Solver 58            Solver 59            Solver 60            Solver 61            Solver 62            Solver 63            Solver 64            Solver 65            Solver 66            Solver 67            Solver 68            Solver 69            Solver 70            Solver 71            Solver 72            Solver 73            Solver 74            Solver 75            Solver 76            Solver 77            Solver 78            Solver 79            Solver 80            Solver 81            Solver 82            Solver 83            Solver 84            Solver 85            Solver 86            Solver 87            Solver 88            Solver 89            Solver 90            Solver 91            Solver 92            Solver 93            Solver 94            Solver 95            Solver 96            Solver 97            Solver 98            Solver 99
             MuGA-64                    1                    0                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1
              SGA-64                    1                    0                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1
             SGA-128                    1                    0                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1                    1


SucessRate : Compare Means  using Student's t-test
   Confidence 95%      0    1    2  Score Rank     Confidence 99%      0    1    2  Score Rank        p-Values          0      1      2  
             MuGA-64   .    .    .    0     1                MuGA-64   .    .    .    0     1                MuGA-64    NaN    NaN    NaN
              SGA-64   .    .    .    0     1                 SGA-64   .    .    .    0     1                 SGA-64    NaN    NaN    NaN
