#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = DefaultSolver
random seed          = 123
number of runs       = 1

solver type         = GA
stop criteria       = MaxEvaluations 500000.0

problem name        = real.multimodal.Vincent 2
population type     = MultiPopulation 64

selection           = NoSelection
recombination       = real.MuAX 0.75 0.5
mutation            = real.MuGauss -1.0 0.01
replacement         = ClearingBest
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = PeekRatio
statistic           = PeekSucessRate
statistic           = PeeksFound
statistic           = PeeksFuncsCall
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#START_TIME 2020/02/04 17:39:03:146
START_TIME 1580837943146
RUNNING_TIME 0
                               Generation            PeekRatio       PeekSucessRate           PeeksFound       PeeksFuncsCall        FunctionCalls
STATISTIC 151                        2194   0.8055555555555556                    0                   29                    0               251197
STATISTIC 152                        2208   0.8055555555555556                    0                   29                    0               252796
STATISTIC 153                        2223   0.8055555555555556                    0                   29                    0               254527
STATISTIC 154                        2237   0.8055555555555556                    0                   29                    0               256166
STATISTIC 155                        2252   0.8055555555555556                    0                   29                    0               257905
STATISTIC 156                        2266   0.8055555555555556                    0                   29                    0               259470
STATISTIC 157                        2281   0.8055555555555556                    0                   29                    0               261200
STATISTIC 158                        2296   0.8055555555555556                    0                   29                    0               262940
STATISTIC 159                        2310   0.8055555555555556                    0                   29                    0               264573
STATISTIC 160                        2325   0.8055555555555556                    0                   29                    0               266293
STATISTIC 161                        2339   0.8055555555555556                    0                   29                    0               267936
STATISTIC 162                        2354   0.8055555555555556                    0                   29                    0               269701
STATISTIC 163                        2368   0.8055555555555556                    0                   29                    0               271332
STATISTIC 164                        2383   0.8055555555555556                    0                   29                    0               273080
STATISTIC 165                        2397   0.8055555555555556                    0                   29                    0               274682
STATISTIC 166                        2412   0.8055555555555556                    0                   29                    0               276413
STATISTIC 167                        2426   0.8055555555555556                    0                   29                    0               278000
STATISTIC 168                        2441   0.8055555555555556                    0                   29                    0               279741
STATISTIC 169                        2455   0.8055555555555556                    0                   29                    0               281377
STATISTIC 170                        2470   0.8055555555555556                    0                   29                    0               283121
STATISTIC 171                        2484   0.8055555555555556                    0                   29                    0               284754
STATISTIC 172                        2499   0.8055555555555556                    0                   29                    0               286499
STATISTIC 173                        2513   0.8055555555555556                    0                   29                    0               288060
STATISTIC 174                        2528   0.8333333333333334                    0                   30                    0               289799
STATISTIC 175                        2543   0.8333333333333334                    0                   30                    0               291549
STATISTIC 176                        2557   0.8333333333333334                    0                   30                    0               293175
STATISTIC 177                        2572   0.8333333333333334                    0                   30                    0               294894
STATISTIC 178                        2586   0.8333333333333334                    0                   30                    0               296546
STATISTIC 179                        2601   0.8333333333333334                    0                   30                    0               298262
STATISTIC 180                        2615   0.8333333333333334                    0                   30                    0               299847
STATISTIC 181                        2630   0.8333333333333334                    0                   30                    0               301600
STATISTIC 182                        2644   0.8333333333333334                    0                   30                    0               303200
STATISTIC 183                        2659   0.8333333333333334                    0                   30                    0               304896
STATISTIC 184                        2673   0.8333333333333334                    0                   30                    0               306535
STATISTIC 185                        2688   0.8333333333333334                    0                   30                    0               308252
STATISTIC 186                        2702   0.8333333333333334                    0                   30                    0               309847
STATISTIC 187                        2717   0.8333333333333334                    0                   30                    0               311562
STATISTIC 188                        2731   0.8333333333333334                    0                   30                    0               313176
STATISTIC 189                        2746   0.8333333333333334                    0                   30                    0               314882
STATISTIC 190                        2761   0.8333333333333334                    0                   30                    0               316641
STATISTIC 191                        2775   0.8333333333333334                    0                   30                    0               318304
STATISTIC 192                        2790   0.8333333333333334                    0                   30                    0               320035
STATISTIC 193                        2804   0.8333333333333334                    0                   30                    0               321690
STATISTIC 194                        2819   0.8333333333333334                    0                   30                    0               323382
STATISTIC 195                        2833   0.8333333333333334                    0                   30                    0               324986
STATISTIC 196                        2848   0.8333333333333334                    0                   30                    0               326728
STATISTIC 197                        2862   0.8333333333333334                    0                   30                    0               328346
STATISTIC 198                        2877   0.8333333333333334                    0                   30                    0               330059
STATISTIC 199                        2891   0.8333333333333334                    0                   30                    0               331696
STATISTIC 200                        2906   0.8333333333333334                    0                   30                    0               333465
STATISTIC 201                        2920   0.8333333333333334                    0                   30                    0               335047
STATISTIC 202                        2935   0.8333333333333334                    0                   30                    0               336766
STATISTIC 203                        2949   0.8333333333333334                    0                   30                    0               338349
STATISTIC 204                        2964   0.8333333333333334                    0                   30                    0               340068
STATISTIC 205                        2979   0.8333333333333334                    0                   30                    0               341753
STATISTIC 206                        2993   0.8333333333333334                    0                   30                    0               343342
STATISTIC 207                        3008   0.8333333333333334                    0                   30                    0               345062
STATISTIC 208                        3022   0.8333333333333334                    0                   30                    0               346675
STATISTIC 209                        3037   0.8333333333333334                    0                   30                    0               348383
STATISTIC 210                        3051   0.8333333333333334                    0                   30                    0               350033
STATISTIC 211                        3066   0.8333333333333334                    0                   30                    0               351801
STATISTIC 212                        3080   0.8333333333333334                    0                   30                    0               353414
STATISTIC 213                        3095   0.8333333333333334                    0                   30                    0               355179
STATISTIC 214                        3109   0.8333333333333334                    0                   30                    0               356824
STATISTIC 215                        3124   0.8333333333333334                    0                   30                    0               358506
STATISTIC 216                        3138   0.8333333333333334                    0                   30                    0               360092
STATISTIC 217                        3153   0.8333333333333334                    0                   30                    0               361768
STATISTIC 218                        3167   0.8333333333333334                    0                   30                    0               363373
STATISTIC 219                        3182   0.8333333333333334                    0                   30                    0               365044
STATISTIC 220                        3196   0.8333333333333334                    0                   30                    0               366659
STATISTIC 221                        3211   0.8333333333333334                    0                   30                    0               368404
STATISTIC 222                        3226   0.8333333333333334                    0                   30                    0               370165
STATISTIC 223                        3240   0.8333333333333334                    0                   30                    0               371788
STATISTIC 224                        3255   0.8333333333333334                    0                   30                    0               373555
STATISTIC 225                        3269   0.8333333333333334                    0                   30                    0               375228
STATISTIC 226                        3284   0.8333333333333334                    0                   30                    0               376935
